Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
8,5,200,19800,172,0,28,19800,0.0,14.0,7.0
8,6,200,19800,168,0,32,19800,0.0,16.0,8.0
8,7,200,19800,161,0,39,19800,0.0,19.5,9.75
8,8,200,19800,153,0,47,19800,0.0,23.5,11.75
8,9,200,19800,147,0,53,19800,0.0,26.5,13.25
8,10,200,19800,137,0,63,19800,0.0,31.5,15.75
8,11,200,19800,129,0,71,19800,0.0,35.5,17.75
10,5,200,19800,185,1,15,19799,0.0051,7.5,3.7525
10,6,200,19800,178,1,22,19799,0.0051,11.0,5.5025
10,7,200,19800,171,0,29,19800,0.0,14.5,7.25
10,8,200,19800,169,0,31,19800,0.0,15.5,7.75
10,9,200,19800,163,0,37,19800,0.0,18.5,9.25
10,10,200,19800,152,0,48,19800,0.0,24.0,12.0
10,11,200,19800,146,0,54,19800,0.0,27.0,13.5
12,5,200,19800,186,2,14,19798,0.0101,7.0,3.5051
12,6,200,19800,183,1,17,19799,0.0051,8.5,4.2525
12,7,200,19800,182,0,18,19800,0.0,9.0,4.5
12,8,200,19800,178,0,22,19800,0.0,11.0,5.5
12,9,200,19800,174,0,26,19800,0.0,13.0,6.5
12,10,200,19800,163,0,37,19800,0.0,18.5,9.25
12,11,200,19800,158,0,42,19800,0.0,21.0,10.5
14,5,200,19800,193,31,7,19769,0.1566,3.5,1.8283
14,6,200,19800,188,9,12,19791,0.0455,6.0,3.0227
14,7,200,19800,185,2,15,19798,0.0101,7.5,3.7551
14,8,200,19800,182,2,18,19798,0.0101,9.0,4.5051
14,9,200,19800,180,0,20,19800,0.0,10.0,5.0
14,10,200,19800,174,0,26,19800,0.0,13.0,6.5
14,11,200,19800,171,0,29,19800,0.0,14.5,7.25
16,5,200,19800,192,75,8,19725,0.3788,4.0,2.1894
16,6,200,19800,189,33,11,19767,0.1667,5.5,2.8333
16,7,200,19800,188,14,12,19786,0.0707,6.0,3.0354
16,8,200,19800,183,7,17,19793,0.0354,8.5,4.2677
16,9,200,19800,183,0,17,19800,0.0,8.5,4.25
16,10,200,19800,178,0,22,19800,0.0,11.0,5.5
16,11,200,19800,172,0,28,19800,0.0,14.0,7.0
18,5,200,19800,195,244,5,19556,1.2323,2.5,1.8662
18,6,200,19800,194,116,6,19684,0.5859,3.0,1.7929
18,7,200,19800,191,51,9,19749,0.2576,4.5,2.3788
18,8,200,19800,188,29,12,19771,0.1465,6.0,3.0732
18,9,200,19800,186,11,14,19789,0.0556,7.0,3.5278
18,10,200,19800,185,6,15,19794,0.0303,7.5,3.7652
18,11,200,19800,179,0,21,19800,0.0,10.5,5.25
20,5,200,19800,196,495,4,19305,2.5,2.0,2.25
20,6,200,19800,195,232,5,19568,1.1717,2.5,1.8359
20,7,200,19800,192,115,8,19685,0.5808,4.0,2.2904
20,8,200,19800,190,58,10,19742,0.2929,5.0,2.6465
20,9,200,19800,185,32,15,19768,0.1616,7.5,3.8308
20,10,200,19800,182,8,18,19792,0.0404,9.0,4.5202
20,11,200,19800,176,5,24,19795,0.0253,12.0,6.0126
22,5,200,19800,198,744,2,19056,3.7576,1.0,2.3788
22,6,200,19800,195,398,5,19402,2.0101,2.5,2.2551
22,7,200,19800,191,216,9,19584,1.0909,4.5,2.7955
22,8,200,19800,189,105,11,19695,0.5303,5.5,3.0152
22,9,200,19800,189,59,11,19741,0.298,5.5,2.899
22,10,200,19800,186,37,14,19763,0.1869,7.0,3.5934
22,11,200,19800,181,17,19,19783,0.0859,9.5,4.7929
24,5,200,19800,195,1339,5,18461,6.7626,2.5,4.6313
24,6,200,19800,193,753,7,19047,3.803,3.5,3.6515
24,7,200,19800,193,403,7,19397,2.0354,3.5,2.7677
24,8,200,19800,190,232,10,19568,1.1717,5.0,3.0859
24,9,200,19800,188,137,12,19663,0.6919,6.0,3.346
24,10,200,19800,185,81,15,19719,0.4091,7.5,3.9545
24,11,200,19800,180,40,20,19760,0.202,10.0,5.101
26,5,200,19800,199,1977,1,17823,9.9848,0.5,5.2424
26,6,200,19800,197,1209,3,18591,6.1061,1.5,3.803
26,7,200,19800,194,713,6,19087,3.601,3.0,3.3005
26,8,200,19800,192,438,8,19362,2.2121,4.0,3.1061
26,9,200,19800,192,271,8,19529,1.3687,4.0,2.6843
26,10,200,19800,190,168,10,19632,0.8485,5.0,2.9242
26,11,200,19800,184,97,16,19703,0.4899,8.0,4.2449
28,5,200,19800,198,2671,2,17129,13.4899,1.0,7.2449
28,6,200,19800,196,1711,4,18089,8.6414,2.0,5.3207
28,7,200,19800,194,1053,6,18747,5.3182,3.0,4.1591
28,8,200,19800,194,666,6,19134,3.3636,3.0,3.1818
28,9,200,19800,190,391,10,19409,1.9747,5.0,3.4874
28,10,200,19800,183,227,17,19573,1.1465,8.5,4.8232
28,11,200,19800,182,128,18,19672,0.6465,9.0,4.8232
30,5,200,19800,199,3562,1,16238,17.9899,0.5,9.2449
30,6,200,19800,199,2358,1,17442,11.9091,0.5,6.2045
30,7,200,19800,197,1524,3,18276,7.697,1.5,4.5985
30,8,200,19800,192,972,8,18828,4.9091,4.0,4.4545
30,9,200,19800,192,665,8,19135,3.3586,4.0,3.6793
30,10,200,19800,189,426,11,19374,2.1515,5.5,3.8258
30,11,200,19800,185,251,15,19549,1.2677,7.5,4.3838
32,5,200,19800,198,4310,2,15490,21.7677,1.0,11.3838
32,6,200,19800,197,2954,3,16846,14.9192,1.5,8.2096
32,7,200,19800,195,1933,5,17867,9.7626,2.5,6.1313
32,8,200,19800,193,1266,7,18534,6.3939,3.5,4.947
32,9,200,19800,190,829,10,18971,4.1869,5.0,4.5934
32,10,200,19800,187,561,13,19239,2.8333,6.5,4.6667
32,11,200,19800,181,345,19,19455,1.7424,9.5,5.6212
34,5,200,19800,198,5154,2,14646,26.0303,1.0,13.5152
34,6,200,19800,198,3597,2,16203,18.1667,1.0,9.5833
34,7,200,19800,197,2439,3,17361,12.3182,1.5,6.9091
34,8,200,19800,195,1627,5,18173,8.2172,2.5,5.3586
34,9,200,19800,189,1006,11,18794,5.0808,5.5,5.2904
34,10,200,19800,187,650,13,19150,3.2828,6.5,4.8914
34,11,200,19800,184,424,16,19376,2.1414,8.0,5.0707
