Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
32,6,193,18721,188,1688,5,17033,9.0166,2.5907,5.8036
32,7,193,18721,187,999,6,17722,5.3363,3.1088,4.2225
32,8,193,18721,185,611,8,18110,3.2637,4.1451,3.7044
32,9,193,18721,184,373,9,18348,1.9924,4.6632,3.3278
32,10,193,18721,181,238,12,18483,1.2713,6.2176,3.7445
32,11,193,18721,181,155,12,18566,0.8279,6.2176,3.5228
34,5,193,18721,190,3321,3,15400,17.7394,1.5544,9.6469
34,6,193,18721,190,2140,3,16581,11.431,1.5544,6.4927
34,7,193,18721,189,1370,4,17351,7.318,2.0725,4.6953
34,8,193,18721,189,861,4,17860,4.5991,2.0725,3.3358
34,9,193,18721,187,568,6,18153,3.034,3.1088,3.0714
34,10,193,18721,184,353,9,18368,1.8856,4.6632,3.2744
34,11,193,18721,183,202,10,18519,1.079,5.1813,3.1302
