database,setup,architecture,factor,degree,block_size,n_subjects,n_vaults,ga,ia,gacc,iacc,far_pct,frr_pct,eer_pct
fvc2002_3,1,B,16,5,511,98,98,95,9215,76,4,0.043407,20.0,10.021704
fvc2002_3,1,C,16,5,511,98,98,95,9215,76,4,0.043407,20.0,10.021704
fvc2002_3,1,D,16,5,511,98,98,95,9215,76,4,0.043407,20.0,10.021704
fvc2002_3,1,B,18,5,31,98,98,95,9215,24,0,0.0,74.736842,37.368421
fvc2002_3,1,C,18,5,31,98,98,95,9215,24,0,0.0,74.736842,37.368421
fvc2002_3,1,D,18,5,31,98,98,95,9215,24,0,0.0,74.736842,37.368421
fvc2002_3,1,B,18,5,63,98,98,95,9215,48,0,0.0,49.473684,24.736842
fvc2002_3,1,C,18,5,63,98,98,95,9215,48,0,0.0,49.473684,24.736842
fvc2002_3,1,D,18,5,63,98,98,95,9215,48,0,0.0,49.473684,24.736842
fvc2002_3,1,B,18,5,127,98,98,95,9215,58,0,0.0,38.947368,19.473684
fvc2002_3,1,C,18,5,127,98,98,95,9215,58,0,0.0,38.947368,19.473684
fvc2002_3,1,D,18,5,127,98,98,95,9215,58,0,0.0,38.947368,19.473684
fvc2002_3,1,B,18,5,255,98,98,95,9215,62,0,0.0,34.736842,17.368421
fvc2002_3,1,C,18,5,255,98,98,95,9215,62,0,0.0,34.736842,17.368421
fvc2002_3,1,D,18,5,255,98,98,95,9215,62,0,0.0,34.736842,17.368421
fvc2002_3,1,B,18,5,511,98,98,95,9215,79,6,0.065111,16.842105,8.453608
fvc2002_3,1,C,18,5,511,98,98,95,9215,79,6,0.065111,16.842105,8.453608
fvc2002_3,1,D,18,5,511,98,98,95,9215,79,6,0.065111,16.842105,8.453608
fvc2004_1,1,B,22,5,31,100,100,100,9900,27,0,0.0,73.0,36.5
fvc2004_1,1,C,22,5,31,100,100,100,9900,27,0,0.0,73.0,36.5
fvc2004_1,1,D,22,5,31,100,100,100,9900,27,0,0.0,73.0,36.5
fvc2004_1,1,B,22,5,63,100,100,100,9900,54,0,0.0,46.0,23.0
fvc2004_1,1,C,22,5,63,100,100,100,9900,54,0,0.0,46.0,23.0
fvc2004_1,1,D,22,5,63,100,100,100,9900,54,0,0.0,46.0,23.0
fvc2004_1,1,B,22,5,127,100,100,100,9900,65,1,0.010101,35.0,17.505051
fvc2004_1,1,C,22,5,127,100,100,100,9900,65,1,0.010101,35.0,17.505051
fvc2004_1,1,D,22,5,127,100,100,100,9900,65,1,0.010101,35.0,17.505051
fvc2004_1,1,B,22,5,255,100,100,100,9900,70,4,0.040404,30.0,15.020202
fvc2004_1,1,C,22,5,255,100,100,100,9900,70,4,0.040404,30.0,15.020202
fvc2004_1,1,D,22,5,255,100,100,100,9900,70,4,0.040404,30.0,15.020202
fvc2004_1,1,B,22,5,511,100,100,100,9900,86,76,0.767677,14.0,7.383838
fvc2004_1,1,C,22,5,511,100,100,100,9900,86,76,0.767677,14.0,7.383838
fvc2004_1,1,D,22,5,511,100,100,100,9900,86,76,0.767677,14.0,7.383838
fvc2004_1,1,B,22,7,31,100,100,100,9900,24,0,0.0,76.0,38.0
fvc2004_1,1,C,22,7,31,100,100,100,9900,24,0,0.0,76.0,38.0
fvc2004_1,1,D,22,7,31,100,100,100,9900,24,0,0.0,76.0,38.0
fvc2004_1,1,B,22,7,63,100,100,100,9900,49,0,0.0,51.0,25.5
fvc2004_1,1,C,22,7,63,100,100,100,9900,49,0,0.0,51.0,25.5
fvc2004_1,1,D,22,7,63,100,100,100,9900,49,0,0.0,51.0,25.5
fvc2004_1,1,B,22,7,127,100,100,100,9900,59,1,0.010101,41.0,20.505051
fvc2004_1,1,C,22,7,127,100,100,100,9900,59,1,0.010101,41.0,20.505051
fvc2004_1,1,D,22,7,127,100,100,100,9900,59,1,0.010101,41.0,20.505051
fvc2004_1,1,B,22,7,255,100,100,100,9900,64,2,0.020202,36.0,18.010101
fvc2004_1,1,C,22,7,255,100,100,100,9900,64,2,0.020202,36.0,18.010101
fvc2004_1,1,D,22,7,255,100,100,100,9900,64,2,0.020202,36.0,18.010101
fvc2004_1,1,B,22,7,511,100,100,100,9900,80,24,0.242424,20.0,10.121212
fvc2004_1,1,C,22,7,511,100,100,100,9900,80,24,0.242424,20.0,10.121212
fvc2004_1,1,D,22,7,511,100,100,100,9900,80,24,0.242424,20.0,10.121212
