Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch A (1_to_lock_rest_to_unlock),14,7,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),14,8,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),14,8,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),14,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),14,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),14,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),14,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),14,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),14,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),16,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,7,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,7,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,8,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,8,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
