Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Architecture A (1_to_lock_rest_to_unlock),10,6,686,66542,458,0,33.23615160349854,0.0,16.61807580174927
Architecture A (1_to_lock_rest_to_unlock),12,5,686,66542,494,0,27.988338192419825,0.0,13.994169096209912
Architecture A (1_to_lock_rest_to_unlock),10,8,686,66542,409,0,40.37900874635568,0.0,20.18950437317784
Architecture A (1_to_lock_rest_to_unlock),12,6,686,66542,481,0,29.88338192419825,0.0,14.941690962099125
Architecture A (1_to_lock_rest_to_unlock),10,10,686,66542,350,0,48.97959183673469,0.0,24.489795918367346
Architecture A (1_to_lock_rest_to_unlock),10,11,686,66542,316,0,53.93586005830904,0.0,26.96793002915452
Architecture A (1_to_lock_rest_to_unlock),10,9,686,66542,383,0,44.16909620991253,0.0,22.084548104956266
Architecture A (1_to_lock_rest_to_unlock),12,7,686,66542,468,0,31.778425655976676,0.0,15.889212827988338
Architecture A (1_to_lock_rest_to_unlock),12,9,686,66542,427,0,37.755102040816325,0.0,18.877551020408163
Architecture A (1_to_lock_rest_to_unlock),12,11,686,66542,370,0,46.06413994169096,0.0,23.03206997084548
Architecture A (1_to_lock_rest_to_unlock),12,8,686,66542,446,0,34.98542274052478,0.0,17.49271137026239
Architecture A (1_to_lock_rest_to_unlock),14,6,686,66542,502,0,26.82215743440233,0.0,13.411078717201166
Architecture A (1_to_lock_rest_to_unlock),14,5,686,66542,517,0,24.635568513119534,0.0,12.317784256559767
Architecture A (1_to_lock_rest_to_unlock),14,7,686,66542,482,0,29.737609329446062,0.0,14.868804664723031
Architecture A (1_to_lock_rest_to_unlock),12,10,686,66542,406,0,40.816326530612244,0.0,20.408163265306122
